CaseID,Feature__00,Feature__01,Feature__02,Feature__03,Feature__04,Feature__05,Feature__06,Feature__07,Feature__08,Feature__09
53 Benign,0.004134366925064599,0.023049095607235143,0.023152454780361757,0.10356589147286822,0.33798449612403103,0.13891472868217053,0.028733850129198966,0.016330749354005168,0.30728682170542637,0.016847545219638244
18 Benign,0.0047873838355392846,0.03491974091805125,0.026377546231108606,0.11029756875997372,0.3804562095184455,0.21618323476954848,0.05266122219093213,0.03369942739134516,0.10457148221158359,0.03604618417347226
1 Malignant,0.010375927847394046,0.040625748264027456,0.040426211190039106,0.14598132332987468,0.3168249660786974,0.2083167052438343,0.07945566286215978,0.04792880517200096,0.06085880756644584,0.04920584244552638
38 Malignant,0.00809968847352025,0.03889630618602581,0.0319537160658656,0.13867378727191812,0.39412550066755675,0.20480640854472631,0.06186025812194036,0.041121495327102804,0.037561192701379614,0.042901646639964396
28 Malignant,0.007610103626943005,0.041801597582038,0.03169077432354635,0.13510182786413355,0.3329285405872193,0.20104706390328153,0.06676381692573402,0.053279720782959124,0.08580706678180772,0.043969487622337364
48 Benign,0.004331965344277246,0.03845569235446116,0.02743578051375589,0.11589907280741754,0.4222526219790242,0.21583827329381364,0.05053959568323453,0.04331965344277246,0.04810761513907889,0.033819729442164465
81 Malignant,0.007975791749692627,0.03823610463390851,0.024891889600203502,0.11521706872429728,0.3015962182558189,0.22090028405477594,0.061543434942977066,0.058946665536100395,0.12398778988425828,0.046704752617967527
38 Benign,0.008993721364330562,0.04980485321567962,0.03699304259290684,0.13677244188019685,0.3632275581198032,0.19064992363821484,0.06524690310537927,0.05540471746139487,0.04683522823689123,0.046071610385202785
6 Malignant,0.005619950825430277,0.041315419740077276,0.02954864769933263,0.12800755180892168,0.35368370214260625,0.21991350544432736,0.06978837372672989,0.05123814541622761,0.054772567615033366,0.04611213558131366
79 Benign,0.010925136944613513,0.026871576384662203,0.020267802799756544,0.07696287279367012,0.22577601947656725,0.11612903225806452,0.02939744370054778,0.02051125989044431,0.44650030432136334,0.026658551430310408
4 Malignant,0.005964893840655875,0.03735284843388691,0.027380702123186884,0.1213606264452386,0.31121242379651043,0.20469833928946815,0.05533949968467521,0.053053394996846755,0.14574574311540886,0.037891528274122344
106 Malignant,0.00673783287419651,0.03981864095500459,0.03104912764003673,0.12987832874196512,0.35744949494949496,0.20961891643709826,0.06526629935720844,0.05234159779614325,0.06556473829201102,0.042275022956841136
79 Malignant,0.004217797046072452,0.036637519288706004,0.025968109339407745,0.11321919318098317,0.4008376809464325,0.22573297082812843,0.06012197810272614,0.04624880593724741,0.04579322507164377,0.04122272025865236
74 Malignant,0.006123697366568089,0.04540953738910013,0.028365283058724124,0.11987088086185044,0.35895032389804254,0.20649380368962117,0.06165724897901704,0.05272144768342487,0.07268562526404732,0.047722151809604284
84 Benign,0.009873021200425127,0.046624153940817814,0.033576662751020864,0.12973373608547295,0.32480281926497734,0.2099625216758964,0.07178217821782178,0.05954578508698327,0.06038485204452649,0.05371426973205795
64 Benign,0.0055993476488176135,0.03541723294373471,0.028649089426474584,0.1281598260396847,0.40288121772220714,0.21957053547159555,0.060179396575156294,0.03881489535199783,0.04161456917640663,0.03911388964392498
50 Malignant,0.005817099567099567,0.03955627705627705,0.02748917748917749,0.125,0.2864989177489177,0.2224025974025974,0.06542207792207792,0.05435606060606061,0.1327922077922078,0.04066558441558442
106 Benign,0.0050828902095714735,0.040558857262016475,0.029871754770096966,0.12144197685329997,0.35713168595558337,0.21491502450213743,0.06258471483682619,0.05155875299760192,0.07452299030340945,0.04233135230945678
96 Benign,0.004021795537104307,0.036472928559072824,0.026466009340944473,0.11803321224701609,0.38790866632070575,0.2188721674450787,0.056910569105691054,0.04907455457533299,0.06488496799861615,0.03735512887043764
95 Malignant,0.005020878902366276,0.04116747862398091,0.02698101014118115,0.1226138397295685,0.3417180353947107,0.22425556770729768,0.06638372439848876,0.05578892423941141,0.07154752435871943,0.044523016504275204
16 Malignant,0.004932468220338983,0.039073534604519775,0.028403072033898306,0.12196548375706215,0.3903932733050847,0.2194782838983051,0.06272069209039548,0.04783501059322034,0.043277718926553674,0.04192046257062147
111 Malignant,0.0057473319151218295,0.041482686497792236,0.027440604944671876,0.12368830333041349,0.31976796152952325,0.22141082250308372,0.06596471156080731,0.056820822681849875,0.09286901803750514,0.0448077369992313
77 Malignant,0.004835760569705524,0.03860588952332072,0.028477256688265864,0.12196060819914031,0.3840620388785526,0.21105729133252069,0.0611406941682171,0.05000160390068647,0.06158176685699621,0.03827708988259447
42 Malignant,0.006322337962962963,0.03268229166666667,0.031568287037037034,0.1412326388888889,0.3953125,0.2078414351851852,0.06338252314814814,0.03993055555555555,0.04457465277777778,0.03715277777777778
119 Malignant,0.006553015372487189,0.03675601103665747,0.03028511365129418,0.1370056497175141,0.33954145315990014,0.22247405071606885,0.06705754828537643,0.046347391932728944,0.07175469714886348,0.04222506897910919
120 Malignant,0.004270625639920245,0.039311311095543464,0.025529449803308724,0.12049361426954788,0.3642695478795064,0.22420111009322627,0.06605324136444468,0.050641267446246696,0.06405938459880368,0.041170447809451956
63 Malignant,0.004923076923076923,0.03948717948717949,0.022735042735042735,0.11935042735042735,0.3504273504273504,0.24184615384615385,0.06471794871794871,0.0492991452991453,0.05760683760683761,0.04960683760683761
31 Malignant,0.005908715913398292,0.034805681286093335,0.028027380766572275,0.13208767196593013,0.3889495863898861,0.21710628999531761,0.06379183482351893,0.04080358536422217,0.050391313072755246,0.03812794042230596
71 Malignant,0.01149213937666636,0.04716374000183874,0.040268456375838924,0.1476510067114094,0.3015537372437253,0.21651190585639424,0.08688057368759769,0.04863473384205204,0.03934908522570562,0.06049462167877172
26 Benign,0.004922043089982021,0.03898827944629471,0.027218603554481417,0.12298230618841306,0.33856484619843397,0.21442325640798923,0.0621493903936652,0.05401475630483264,0.09709491388880702,0.03964160452710071
32 Benign,0.007290781863042511,0.03622133236257736,0.03085183836912996,0.13504631314969867,0.3475104154026615,0.2150628968976257,0.06558670064312583,0.047910852242850785,0.07446507300893905,0.040053796060348666
103 Benign,0.005239987533115163,0.03777076515505688,0.030446470313230483,0.13249961040984884,0.39701184354059527,0.20825541530310113,0.0602306373694873,0.04367305594514571,0.049711703288140875,0.035160511142278326
94 Malignant,0.004769800475321948,0.0384015917758249,0.026949649035538606,0.1238766373735699,0.3543414580224396,0.22534681921184987,0.06535676781075554,0.05253965622063782,0.0656607527773172,0.0427568672967446
75 Benign,0.0058679706601467,0.03412352503454874,0.02806420750504943,0.12850005315190816,0.35401296906558943,0.20877006484532795,0.061698734984585946,0.044881471244817686,0.09977676198575529,0.03430424152227065
94 Benign,0.006010171058714748,0.04364308830328248,0.03448913546000924,0.13804900601017106,0.3555247341655109,0.220249653259362,0.06990291262135923,0.04724919093851133,0.048451225150254275,0.03643088303282478
57 Benign,0.007863781113927342,0.04484304932735426,0.0309352050432183,0.13501657243127316,0.3365503346981218,0.2009163579645155,0.06554234093715475,0.05507896276077208,0.08107493338532527,0.04217846233833756
122 Malignant,0.004888888888888889,0.034428571428571426,0.02546031746031746,0.11666666666666667,0.2753174603174603,0.1939047619047619,0.053158730158730155,0.050412698412698416,0.21022222222222223,0.03553968253968254
