CaseID,Image_filename,Feature__00,Feature__01,Feature__02,Feature__03,Feature__04,Feature__05,Feature__06,Feature__07,Feature__08,Feature__09,Feature__10,Feature__11,Feature__12,Feature__13,Feature__14,Feature__15,Feature__16,Feature__17,Feature__18,Feature__19,Feature__20,Feature__21,Feature__22,Feature__23,Feature__24,Feature__25,Feature__26,Feature__27,Feature__28,Feature__29,Feature__30,Feature__31,Feature__32,Feature__33,Feature__34,Feature__35,Feature__36,Feature__37,Feature__38,Feature__39,Feature__40,Feature__41,Feature__42,Feature__43,Feature__44,Feature__45,Feature__46,Feature__47,Feature__48,Feature__49,Feature__50,Feature__51,Feature__52,Feature__53,Feature__54,Feature__55,Feature__56,Feature__57
102 Malignant,102 Malignant_img.png,0.005826558265582656,0.02005420054200542,0.00011743450767841012,0.0012556458897922313,5.4200542005420054e-05,0.01878952122854562,9.03342366757001e-05,0.0016802168021680217,5.4200542005420054e-05,0.006386630532971996,0.006485998193315266,0.000948509485094851,0.0012737127371273713,0.005781391147244806,0.005934959349593496,0.0012827461607949414,0.0012195121951219512,0.026007226738934058,0.005736224028906956,0.025103884372177056,0.005600722673893405,0.023324299909665763,0.005826558265582656,0.026196928635953028,0.006178861788617886,0.07164408310749774,0.017344173441734417,0.015474254742547426,0.06294489611562783,0.06425474254742547,0.016016260162601628,0.015537488708220415,0.06349593495934959,0.062213188798554656,0.015989159891598916,0.02028003613369467,0.014896115627822944,0.06041553748870822,0.013794037940379403,0.01731707317073171,0.014652213188798554,0.005645889792231256,0.0059168925022583556,0.012204155374887083,0.011969286359530262,0.005483288166214995,0.005420054200542005,0.011779584462511292,0.011499548328816622,0.006585365853658536,0.0004697380307136405,0.007000903342366757,0.014173441734417345,0.006657633242999097,0.0006413730803974707,0.006205962059620596,0.014308943089430894,0.12655826558265582
24 Benign,24 Benign_img.png,0.008611228366399324,0.019670747150696496,0.00016884761502743774,0.002110595187842972,0.00042211903756859433,0.020514985225833685,0.00016884761502743774,0.0031236808780075983,8.442380751371887e-05,0.008442380751371888,0.004558885605740819,0.0010975094976783454,0.0036302237230899114,0.005825242718446602,0.006585056986070072,0.0021950189953566907,0.0031236808780075983,0.030308146897425073,0.00827353313634445,0.024989447024060786,0.006500633178556353,0.023638666103841282,0.007260447446179823,0.031912199240185735,0.010215280709159983,0.06829886027859856,0.024820599409033348,0.020261713803292527,0.05031658927817645,0.05048543689320388,0.018404390037990714,0.021950189953566904,0.08121570282819755,0.054875474883917266,0.021359223300970873,0.021528070915998312,0.014605318699873365,0.039763613338961584,0.014605318699873365,0.02228788518362178,0.018995356690586745,0.006078514140987759,0.0068383284086112285,0.013761080624736176,0.008864499788940482,0.0044744617982271,0.005740818910932883,0.009877585479105108,0.013254537779653863,0.006331785563528915,0.0010975094976783454,0.0047277332207682566,0.014689742507387082,0.004221190375685944,0.000675390460109751,0.005149852258336851,0.0134233853946813,0.10358801181933305
36 Benign,36 Benign_img.png,0.007245637309929585,0.01595400891247406,0.0001020512297173181,0.0015307684457597714,0.0001020512297173181,0.01595400891247406,0.0001020512297173181,0.0017688879817668469,6.803415314487873e-05,0.004796407796713951,0.005544783481307616,0.0017348709051944076,0.0014967513691873321,0.0061230737830390855,0.00588495424703201,0.0022111099772085586,0.002347178283498316,0.025308704969894888,0.0059870054767493285,0.023199646222403645,0.007721876381943736,0.023233663298976085,0.008232132530530326,0.032282205667244955,0.007925978841378372,0.06408817226247576,0.01816511888968262,0.016770418750212606,0.061468857366397935,0.05888355954689254,0.02187298023607851,0.02146477531720924,0.07766098581487907,0.06459842841106235,0.01442324046671429,0.017926999353675546,0.013708881858693064,0.040446304044630406,0.016226145525053578,0.01932169949314556,0.01857332380855189,0.0070755519270673875,0.0057148688641698135,0.008844439908834234,0.008674354525972037,0.005578800557880056,0.00537469809844542,0.010001020512297173,0.01231418171922305,0.007721876381943736,0.0007823927611661054,0.005068544409293465,0.008266149607102766,0.004422219954417117,0.0011905976800353777,0.005102561485865905,0.011565806034629384,0.13984420178929824
106 Malignant,106 Malignant_img.png,0.00673783287419651,0.018331037649219468,2.295684113865932e-05,0.0015266299357208448,0.0001377410468319559,0.018170339761248853,0.00014921946740128559,0.0013544536271809,0.00012626262626262626,0.006152433425160698,0.006450872359963269,0.0015036730945821855,0.0012970615243342515,0.006657483930211203,0.006198347107438017,0.0015266299357208448,0.0012626262626262627,0.026893939393939394,0.007254361799816345,0.026205234159779614,0.00674931129476584,0.024185032139577595,0.006450872359963269,0.025068870523415977,0.007070707070707071,0.07263544536271808,0.019616620752984388,0.01930670339761249,0.07037419651056015,0.07078741965105602,0.017286501377410467,0.01721763085399449,0.07022497704315886,0.05505050505050505,0.017183195592286503,0.018767217630853993,0.01688475665748393,0.05268595041322314,0.016379706152433424,0.017366850321395774,0.015300734618916437,0.004866850321395776,0.0048094582185491275,0.011214416896235079,0.011547291092745639,0.005348943985307622,0.0046487603305785125,0.011581726354453627,0.011248852157943067,0.005509641873278237,0.0007575757575757576,0.005498163452708907,0.014003673094582185,0.004993112947658402,0.0005165289256198347,0.005693296602387512,0.015369605142332415,0.10783976124885215
23 Benign,23 Benign_img.png,0.006944444444444444,0.018150252525252524,0.0,0.003787878787878788,0.0004734848484848485,0.013573232323232324,0.0,0.004261363636363636,0.0003156565656565657,0.004577020202020202,0.00946969696969697,0.0031565656565656565,0.002051767676767677,0.006944444444444444,0.005208333333333333,0.0023674242424242425,0.003787878787878788,0.029198232323232324,0.007733585858585859,0.028093434343434344,0.007733585858585859,0.023674242424242424,0.007733585858585859,0.030934343434343436,0.008522727272727272,0.08254419191919192,0.0257260101010101,0.0257260101010101,0.07859848484848485,0.06265782828282829,0.01893939393939394,0.038983585858585856,0.0716540404040404,0.04482323232323232,0.019255050505050504,0.019886363636363636,0.019412878787878788,0.03819444444444445,0.015625,0.020675505050505052,0.01783459595959596,0.004734848484848485,0.003945707070707071,0.007891414141414142,0.007891414141414142,0.004892676767676768,0.004734848484848485,0.009154040404040404,0.00946969696969697,0.003472222222222222,0.0022095959595959595,0.004734848484848485,0.010732323232323232,0.002051767676767677,0.0014204545454545455,0.003945707070707071,0.008522727272727272,0.08096590909090909
34 Malignant,34 Malignant_img.png,0.005542264752791069,0.020853269537480065,7.974481658692185e-05,0.001555023923444976,3.9872408293460924e-05,0.019696969696969695,0.00011961722488038278,0.0014752791068580542,0.00019936204146730463,0.006658692185007974,0.006180223285486443,0.0017942583732057417,0.0012360446570972886,0.006220095693779904,0.005661881977671451,0.0016746411483253589,0.0015151515151515152,0.0240829346092504,0.005502392344497608,0.024720893141945772,0.006060606060606061,0.02372408293460925,0.007097288676236045,0.028708133971291867,0.0064194577352472085,0.08006379585326953,0.01594896331738437,0.01598883572567783,0.07097288676236045,0.06423444976076555,0.01419457735247209,0.018421052631578946,0.08333333333333333,0.056698564593301436,0.01634768740031898,0.018460925039872407,0.01726475279106858,0.055462519936204144,0.012360446570972886,0.01985645933014354,0.017743221690590113,0.004625199362041467,0.005382775119617225,0.011523125996810208,0.013397129186602871,0.004425837320574163,0.004505582137161085,0.011084529505582138,0.013038277511961722,0.005063795853269538,0.0005582137161084529,0.0049441786283891545,0.014872408293460926,0.004425837320574163,0.00039872408293460925,0.0046650717703349285,0.016507177033492824,0.09641148325358852
38 Malignant,38 Malignant_img.png,0.00809968847352025,0.017356475300400534,8.900756564307967e-05,0.001869158878504673,0.0,0.016733422340898977,0.0,0.0024922118380062306,0.00035603026257231867,0.005963506898086337,0.0052514463729417,0.0026702269692923898,0.002136181575433912,0.005429461504227859,0.005696484201157099,0.0019581664441477528,0.0028482421005785494,0.027948375611927014,0.008989764129951045,0.030262572318647086,0.008366711170449488,0.025278148642634623,0.005696484201157099,0.024922118380062305,0.007209612817089452,0.06951490876724521,0.027058299955496218,0.0262572318647085,0.08607031597685803,0.07583444592790387,0.02109479305740988,0.017267467734757454,0.07102803738317758,0.043257676902536714,0.017534490431686693,0.022874944370271474,0.02064975522919448,0.05545171339563863,0.01628838451268358,0.013885180240320427,0.014864263462394304,0.0032042723631508676,0.00516243880729862,0.012105028927458834,0.009612817089452604,0.005429461504227859,0.006497552291944816,0.009790832220738763,0.010057854917668002,0.00258121940364931,0.000534045393858478,0.004094348019581665,0.01281708945260347,0.0039163328882955055,0.0014241210502892747,0.0035603026257231864,0.012194036493101914,0.08046283934134402
15 Malignant,15 Malignant_img.png,0.005366106975939069,0.02013011366914777,9.376262189140846e-05,0.0012189140845883099,8.655011251514626e-05,0.01871646183140038,8.655011251514626e-05,0.0011972765564595234,0.00010818764064393284,0.006347008251110726,0.006137845479199123,0.0011323639720731637,0.001103513934568115,0.005575269747850672,0.005661819860365819,0.0010890889158155905,0.001031388840805493,0.02562604581385956,0.0059935952916738795,0.024435981766776298,0.005178581732156252,0.022726617044602156,0.0059647452541688305,0.024118631354220762,0.0060008078010501415,0.07158415555940223,0.017158559806127748,0.01635075875598638,0.06522993479891524,0.06025330332929433,0.014857769315100109,0.01630748369972881,0.0708268420748947,0.06038312849806705,0.0162137210778374,0.020505164156713402,0.015110207143269286,0.059676302579193354,0.01344411747735272,0.01753361029369338,0.01443223126190064,0.004515030869540131,0.005330044429057758,0.011943915527090185,0.011554440020772027,0.004406843228896198,0.0046592810570653745,0.010386013501817552,0.011027926836304887,0.0059935952916738795,0.0005193006750908776,0.006419133344873348,0.0158891581559056,0.006823033869944031,0.0005265131844671399,0.005813282557267325,0.015182332237031908,0.13401563672032774
44 Malignant,44 Malignant_img.png,0.005124549819927971,0.019852941176470587,0.00012004801920768308,0.001245498199279712,6.002400960384154e-05,0.019320228091236496,0.00015756302521008404,0.0011254501800720287,8.253301320528211e-05,0.005709783913565426,0.006287515006002401,0.0009978991596638655,0.0008628451380552221,0.006400060024009604,0.0063025210084033615,0.0011179471788715486,0.0010204081632653062,0.02644807923169268,0.006377551020408163,0.02457983193277311,0.005829831932773109,0.024077130852340936,0.0060999399759903965,0.02454981992797119,0.0060849339735894355,0.08036464585834334,0.020025510204081633,0.018569927971188477,0.06426320528211285,0.07574279711884754,0.017669567827130854,0.01593637454981993,0.07172869147659064,0.05927370948379352,0.01725690276110444,0.020453181272509002,0.016476590636254503,0.05763055222088836,0.01646908763505402,0.0179546818727491,0.015553721488595438,0.004614345738295318,0.00505702280912365,0.01285264105642257,0.012342436974789915,0.004869447779111645,0.004201680672268907,0.0125375150060024,0.012229891956782713,0.004621848739495798,0.0005477190876350541,0.004959483793517407,0.015966386554621848,0.005304621848739496,0.0006077430972388955,0.004389255702280912,0.01641656662665066,0.09327731092436975
45 Benign,45 Benign_img.png,0.005700211118930331,0.01412737508796622,0.0001231527093596059,0.0019176636171710064,0.000211118930330753,0.01296622097114708,0.0001231527093596059,0.0022167487684729066,0.00015833919774806474,0.005770584095707248,0.006245601688951443,0.001688951442646024,0.0020056298381421534,0.006949331456720619,0.005506685432793807,0.0019176636171710064,0.0019176636171710064,0.027797325826882477,0.008286418015482055,0.026688951442646023,0.008919774806474315,0.025756509500351864,0.008391977480647432,0.028553835327234343,0.009060520760028149,0.07677691766361718,0.026073187895847994,0.02378606615059817,0.07385643912737509,0.07755102040816327,0.025721323011963407,0.02707600281491907,0.07406755805770585,0.04892681210415201,0.019475721323011962,0.01988036593947924,0.018771991555242788,0.045548909218859956,0.019722026741731177,0.01988036593947924,0.01926460239268121,0.005014074595355383,0.0052251935256861365,0.010591133004926109,0.010415200562983814,0.004591836734693878,0.004679802955665025,0.009254046446164673,0.009975369458128078,0.003729767769176636,0.0010907811400422238,0.0037825475017593244,0.010643912737508797,0.003676988036593948,0.001354679802955665,0.0034658691062631948,0.011382828993666431,0.07174524982406756
