CaseID,Feature__GLRLM_ShortRunsEmphasis(IBSI:22OV),Feature__GLRLM_LongRunsEmphasis(IBSI:W4KF),Feature__GLRLM_LowGreyLevelRunEmphasis(IBSI:V3SW),Feature__GLRLM_HighGreyLevelRunEmphasis(IBSI:G3QZ),Feature__GLRLM_ShortRunLowGreyLevelEmphasis(IBSI:HTZT),Feature__GLRLM_ShortRunHighGreyLevelEmphasis(IBSI:GD3A),Feature__GLRLM_LongRunLowGreyLevelEmphasis(IBSI:IVPO),Feature__GLRLM_LongRunHighGreyLevelEmphasis(IBSI:3KUM),Feature__GLRLM_GreyLevelNonUniformity(IBSI:R5YN),Feature__GLRLM_RunLengthNonUniformity(IBSI:W92Y),Feature__GLRLM_RunPercentage(IBSI:9ZK5)
001,0.7927836676216024,3.619680475031356,0.0023177693151054,1010.5594741627604,0.0016395427555074,829.7678719673809,0.0140518212670203,3096.5979895959063,1115.3247010362916,24800.32806486277,0.6854579784402449
002,0.7815165793815833,4.265434792066841,0.0019673732475565,1351.9726221672809,0.0015801461236045,1072.1157566994907,0.0090461342813767,5422.68413053479,249.81493078042644,4416.763229959027,0.6676724914429832
003,0.816278115123211,3.934650600813638,0.0064736154732787,1327.2810375609724,0.0034987708133501,1132.8796066252,0.0632333546743331,4232.5840024958825,124.6232287907387,4132.117038133475,0.6924680528481698
004,0.836859726687392,2.921428133673331,0.0093105418591692,700.2048479649533,0.0066178049424614,625.6399284284741,0.0434358910992042,1358.0041229494534,70.73040722601388,1758.4134159508833,0.7425847457627118
005,0.7578986690596496,7.833305302829524,0.0022219796231709,1240.5210543083274,0.0012764052284161,998.0488206936946,0.060829947413066,4373.492476998671,1562.0476100665614,35889.70052817716,0.5830846102598268
006,0.8187686573228966,2.806939301709333,0.0026128818927837,1059.3308079345557,0.0017329844722734,883.8433958847381,0.0183103462082333,2735.253962192654,1192.3462145085382,26979.91186586921,0.7299821606230059
007,0.7852608926399613,3.3156968828851774,0.0046037073865248,602.0351476001154,0.0032424514776018,487.6367856988484,0.0210024510502764,1743.5230159575826,1869.133376965512,33491.99493961645,0.6887158364955089
008,0.8593478366114348,2.41668809265729,0.0019000752681718,1445.9337446544964,0.0016113857179069,1218.342418134226,0.0044758278660917,3884.8786616690622,211.0276529872993,6419.949547331198,0.7791505791505792
009,0.7671764462485573,3.881816513418373,0.0011073383088188,1394.6172875474458,0.0008632806986092585,1067.0153263310103,0.0042939507171292,5329.209057949225,838.3160419561261,16098.611369881415,0.6583517597199189
010,0.8276507807910372,2.693588466269264,0.0017803692407285,949.2293287148292,0.0014638017652463,797.3055143868506,0.0049453250835873,2428.6301612204647,548.1859991092153,11257.599895641672,0.7418915440387833
011,0.7902549315866436,3.776029215125883,0.0037249951981471,681.9539501840768,0.0024750352457383,566.1498866350748,0.0306749625519908,1834.1208951495164,2396.300759893548,49377.4339733285,0.6760841691823287
012,0.810227571242043,2.903893646807039,0.0028281606802914,683.6933314708441,0.0022495877010638,563.9060717382145,0.0084752918894023,1891.883543732228,1364.7203828107884,24381.380955737997,0.7233209647495362
