CaseID,Feature__00,Feature__01,Feature__02,Feature__03,Feature__04,Feature__05,Feature__06,Feature__07,Feature__08,Feature__09,Feature__10,Feature__11,Feature__12,Feature__13,Feature__14,Feature__15,Feature__16,Feature__17,Feature__18,Feature__19,Feature__20,Feature__21,Feature__22,Feature__23,Feature__24,Feature__25,Feature__26,Feature__27,Feature__28,Feature__29,Feature__30,Feature__31,Feature__32,Feature__33,Feature__34,Feature__35,Feature__36,Feature__37,Feature__38,Feature__39,Feature__40,Feature__41,Feature__42,Feature__43,Feature__44
1,0.5543535061847679,0.45390255414243685,0.3636273933349622,0.10234659438917032,-0.08296064737934315,0.5359986684264852,0.4548678102429854,0.37826597881259,0.2696260812944721,0.11542053730027219,0.5086089353416652,0.3868961703369383,0.32446704438304685,0.3823486893599561,-0.08294586403356131,0.4928032031966032,0.40719812568904007,0.34181339677682865,0.44505540962551715,0.34214010344470747,0.538935006437254,0.4518529762201359,0.401429187938184,0.3035433886299639,-0.1880835318825091,0.5292236748716792,0.31062158530642453,0.317798870721565,0.23135046920156324,-0.02419839550620678,0.5517782128173719,0.46318955886278323,0.3702894958319888,0.4119692659563434,0.24956614513969666,0.5448602659641587,0.44868277385706623,0.3812899547556968,0.2975125034509902,0.13398773427470337,0.5645844480585595,0.49683400138442685,0.4602474157087015,0.4240413927657314,0.04694268781365054
2,0.5283121295356056,0.3589390845087709,0.2804065726368496,0.25396312734335064,0.0,0.5456806782046041,0.4617425904274041,0.4258146450205187,-0.14096956848256248,0.0,0.5546634393545847,0.5273294209441539,0.4948641500037133,-0.21693816990378464,0.0,0.5220017630063428,0.4997810903769341,0.45793146817849684,0.282728299719826,0.0,0.47330276756419565,0.3809643194943355,0.28182290640348046,0.36385370560950087,0.0,0.49869922261483335,0.39294506681188696,0.3040118771682222,-0.04292515558578553,0.0,0.5440090553508462,0.449682160638195,0.4952899864862899,0.45524644573351497,0.0,0.5403081364637433,0.46342858980248175,0.388303238439922,0.3773893067625046,0.0,0.5527792151742322,0.4780006171042408,0.3806488893278956,0.14643689468668827,0.0
3,0.5352292154454583,0.44592255250322876,0.3677207301632915,0.277716642298798,0.49841183199670747,0.4719526433077024,0.2692236282506073,0.29532516872274894,0.3171513844795632,0.3388762926090221,0.5073745455423085,0.3592036736382506,0.3513420581125451,0.1665252894421379,0.030599543159750605,0.5208832201878117,0.4129783054301426,0.3950456362132925,0.36761767377954907,0.37529276712330056,0.5116178366022343,0.4292975197561378,0.36181681234870006,0.21961095718239115,0.008336093235945731,0.49689307053329757,0.31281803049907114,0.28556134957677876,0.2719712720099129,0.5710223855074795,0.5479360648472201,0.44274261816344085,0.4067681246249686,0.40734264121250136,0.5064494045525336,0.5572712727146275,0.514863141379489,0.3417766588454706,0.3272026746894302,0.46223692684687073,0.5841816619839408,0.5064400158278135,0.4283776081698137,0.25366543884230075,0.3219945075627765
4,0.545916909236279,0.46227304527743723,0.330768035659252,0.12413252869168248,0.3434885740607895,0.48946675621322455,0.2996315393451929,0.2705959704883296,0.2849387942094624,-0.04694823342456768,0.5369845666524519,0.3907817388306958,0.2081808857666458,0.3130920788803087,0.11331025191212475,0.49859419123651233,0.41683721284475383,0.25552400733707725,0.2713380149243891,0.3892996172872818,0.5144375413187479,0.42248435127791223,0.3049365753952998,0.2069611399954444,0.021242148237534397,0.5024007954348041,0.3282494967008537,0.29104402588506584,0.3013833873837527,0.514876422279076,0.5528236644654356,0.440596811479014,0.3842794148885716,0.40919329193494713,0.5004333653030989,0.5575117538741927,0.48876782124900725,0.34756338665228265,0.35756909166298595,0.2558015985124852,0.5863965585520068,0.5027609054182118,0.3908187177101326,0.26669377133448824,0.23982283069422028
5,0.5049891450477353,0.4018598106827205,0.2861338300238727,0.23750525467737038,0.0,0.5418272264784447,0.4532653592826438,0.49926752717213674,-0.05116151289827714,0.0,0.5339829221609681,0.4592848073948218,0.4662515983136274,-0.11241555491434348,0.0,0.5256747104586752,0.45825768392257926,0.40222724688875483,-0.1776813633730114,0.0,0.5373030890409911,0.46013246731947405,0.4388129030159462,-0.15397441097754863,0.0,0.5377865664740379,0.45432818417419685,0.3862305171303397,0.08621566831581008,0.0,0.5846769703278396,0.568435564205697,0.4080479492511829,0.024396554221200475,0.0,0.5721254587276201,0.526498333455647,0.5689002372304776,-0.07546770382387967,0.0,0.5701338019983839,0.4937978815899291,0.3987495725548461,0.02044989483538172,0.0
6,0.5620162693641041,0.49020003232908627,0.41631066218740065,0.40564718027777463,0.2552586865376979,0.5557215634010779,0.49438610619902235,0.4724134713698165,0.3004136194586105,0.0741482052529165,0.5474876390597043,0.4728619076941451,0.4537050919658396,0.4534575456630944,0.16985400604106948,0.5319651357423532,0.39810140170346126,0.3541156809586005,0.44713408256918086,0.3548750089014888,0.5625676397576425,0.5486828063942305,0.546330813047861,0.40067522870880373,0.20867157781950899,0.5541302484752139,0.4825297296159957,0.44984566538634585,0.40327227664958676,0.30288156453337817,0.5793097635177933,0.5371521703468527,0.4467376728451112,0.4149431154540524,0.37269685317273765,0.5947259061289154,0.5507781332881319,0.4004314515962235,0.4136653250088971,0.10313730881113001,0.5691776563412381,0.4991327495373377,0.4443648008717824,0.4349840385935095,0.4128899488941314
7,0.538192404205109,0.4673677509412631,0.39880831674915385,0.38646421302828177,0.12201336031919387,0.5756261018904649,0.5329572509974663,0.506984284654306,0.40683640495579215,-0.09741256997445039,0.5619875059632032,0.49940213674956085,0.4650094960285024,0.3224357390186361,0.05778714702233366,0.5440243372243612,0.4505259066101009,0.44672398067779195,0.3489211574756502,0.18450083974316492,0.5501653363771618,0.48867133711711425,0.4367694096916996,0.34342501602316633,-0.23519288886498765,0.5667315605490924,0.47076725469173086,0.3814156387970787,0.31140678918628983,0.16598941886956067,0.5863993429406454,0.47013165127953055,0.38129816583265164,0.2930509480315217,0.21580793829232833,0.6054620833694498,0.5675301802721482,0.4649273415998083,0.2680418708499111,0.1241801800229835,0.5818854944267251,0.5179001276767907,0.35373576105430926,0.4336248136168871,-0.08002991002364392
8,0.5677709656314786,0.49654783731775,0.40493887504981985,0.24232888817189974,-0.24346112035912465,0.51049677375596,0.3469436740261051,0.3219581797567883,0.15672065647825772,0.27835402521564967,0.5110316613696632,0.3617743525967914,0.32582836074617005,0.2831944003347407,0.2783540252156497,0.5365266310705361,0.4267963431511907,0.42513597805359893,0.32224988622167483,0.2783540252156502,0.536028942622067,0.4243445114242091,0.4259767999484313,0.2797625475636039,0.27835402521564956,0.5251600360876021,0.387599312950945,0.4256747601554286,0.3743348835148548,0.2783540252156496,0.5491581852870949,0.4896460459878242,0.4639045328042802,0.4687483759556071,0.2783540252156494,0.5589318546697255,0.47712579758040125,0.22877264556285437,0.35677629826396684,0.2783540252156496,0.5417842253148119,0.47687435985038673,0.47043625916544163,0.36193255878539354,0.05066398685668204
9,0.5456944040736357,0.47020535576905526,0.3842803394486887,0.40217794113927197,0.1396042537663506,0.5543223019428956,0.4890170238823498,0.43141667541805884,0.3898367847278059,0.24079286820617501,0.5491149307679408,0.48083226490011144,0.43243368658254716,0.4511237064572853,0.25661584539813387,0.5554194258143572,0.4966464214722595,0.4945573356147873,0.3725836396068637,0.348726135355005,0.5314951594626306,0.4827369877621064,0.47166214569143616,0.4407426097950723,0.27541369492729206,0.5608250199825421,0.4855623276775716,0.4358179987038636,0.3733547481545768,0.3158748002329395,0.5739683778524786,0.5247700159045062,0.4666591807301638,0.4144094359949961,0.3739516101811556,0.585619971991023,0.5230686524408982,0.44212536467441177,0.2979238904476056,0.15648769258793768,0.5682998502449153,0.4964864603367557,0.36742693719399144,0.23845178336188566,0.08270339472583084
10,0.5311652715898179,0.42132658488777264,0.3773602033072679,0.4239586372934294,3.648578959872284e-16,0.5738077392039463,0.5117544100121825,0.4519961810962463,0.4944969220175626,1.8049205070478997e-17,0.5688580549853263,0.538316347844353,0.5664060640875637,0.5660393215178777,9.069224572061248e-16,0.5359576103881116,0.47127488938862677,0.47665392581509713,0.47698764508827,1.483328768414017e-16,0.5912327676260475,0.5779838857839131,0.5384606794860543,0.3760485178306759,1.738328046050213e-15,0.5554769672204546,0.5037638784703207,0.4254985462785998,0.39822939073184777,1.7075125023341047e-16,0.5688126392644721,0.46642982631806945,0.4233921557916171,0.43081242656623553,-7.065181335375284e-18,0.5779296677307992,0.525981604131749,0.3772965258456012,0.42653481413324545,-2.685040946622465e-16,0.537566995887051,0.4473166100709115,0.37279246761927826,0.20699342546047683,-4.437652390653585e-16
